474763407984160768,2,411654937513054208,REVILO,130.66
474763405039759360,7,445803706252783616,banderson18,130.56
474763391550877698,5,473523284571320320,Okool1087,130.10
475095757536358400,2,455087644724948992,Karmel13,129.86
474763403236208640,7,458395573062463488,bwien,129.84
475095752595468288,5,468261731718656000,ravenlocke9,129.80
474763418394423299,2,308283183667888128,jmhannah,129.50
474733202745847808,1,430955013934690304,Dux152,129.32
474733202271891456,3,435995666750107648,projectfusion,129.26
474763424333557762,10,77161125753798656,thowd,129.18
474733215299399681,12,78889728338182144,metsjets4,129.18
474763417320681472,10,325660066579488768,reebok4523,129.14
475095769901166593,12,190995681375166464,fun4willis,129.00
474763399226454016,10,467420745383800832,DGman15,128.90
475125953446539264,6,463360170873843712,2BROS4KIDS2DOGS,128.54
475095755539869697,1,462843125845454848,TDdependent,128.48
474763413591945218,5,335173781536395264,DustyHusty,128.46
474763418755133440,4,302166649698516992,matthewblane333,128.44
475095731313569795,8,474808293663961088,Benj045455,128.38
475125933238382595,11,474986387821555712,Eldog2000,128.32
474733200023744513,11,458584257388867584,brianevans88,128.24
475125945196343296,6,472579992820117504,dpappalar,128.12
474733214498287616,8,81487395232825344,cannabinoid881,128.12
474763408684609536,8,401050918969204736,MouseRatIII,128.08
474733203970584576,10,404518724255621120,Spicer,127.88
474763396743426048,7,468898019056545792,Purple_Hat,127.72
475095749994999808,10,471738975988477952,cyandow28,127.60
474733211885236225,11,211302745989189632,coreyjohn86,127.60
474733196248870912,3,467586950807678976,MurseMatt,127.50
475125965781987328,7,212772013033390080,omegasuspekt,127.46
474733199709171712,8,459422574284107776,GoDucks720,127.46
475095769406238720,8,204606133132853248,Countryman,127.36
475125957137526784,7,426563137286709248,stocktonroad,127.36
474733208005505024,7,334126607826452480,Secomeau22,127.34
474763404515471360,12,451134737977700352,JoyMonger,127.10
475095766780604416,1,327528312907776000,turbojuice,127.08
474763403848577024,7,455186141922979840,BigTex388189,127.06
475125947729702912,8,469233432946274304,benwdunn,126.78
474763411683536896,6,341679173888196608,sig9,126.70
475125967929470976,10,81081195622187008,theriverbedpt7,126.58
474763393799024640,7,470461614110273536,jdvandy,126.54
474763421389156352,6,190833777369419776,turnerjm,126.26
474763425877061632,7,61341718603513856,mark2law,126.22
474733203970584576,7,406097880126857216,Robodashy,126.22
474733208441712640,9,332360693435080704,waynechrebet80,126.20
474763399943680001,7,467042002500841472,Alex1992,125.70
475125953752723456,6,460444878828990464,reinhart19,125.66
